fold,scenario,test,auc,f1,precision,recall,fpr,pos,valid,events,detected,feat_ms_mean,window_ms_mean,window_ms_p99,misses,csec_wait_max_ms,peak_rss_MiB,stream_vs_batch,realtime
S05_load_step,S05_load_step,T3,0.9091729866377753,0.8648648648648649,0.9142857142857143,0.8205128205128205,0.028169014084507043,156,582,3,3,0.1615058034658432,3.528437376022339,4.180136251449586,1,39710.0,265.2265625,1.043081283569336e-07,True
S05_load_step,S05_load_step,T3a,0.6218701095461658,0.2857142857142857,0.7,0.1794871794871795,0.028169014084507043,156,582,3,2,0.16211608052253723,3.895864725112915,5.329062905311584,1,1960.0,268.78125,1.4992443286843127e-07,True
S05_load_step,S05_load_step,no_attack,nan,0.0,0.0,0.0,0.006738544474393531,0,742,0,0,0.16338613629341125,4.021115779876709,5.559862909317017,0,1660.0000000000002,263.90625,3.3527612686157227e-08,True
S06_multi_event,S06_multi_event,A1,0.9975000798696527,0.9719298245614035,0.9453924914675768,1.0,0.035398230088495575,277,729,4,4,0.1743774116039276,3.458482265472412,4.3040392112731976,0,5330.0,268.70703125,2.2351741790771484e-07,True
S06_multi_event,S06_multi_event,A2,0.9389336410115272,0.7272727272727273,0.8888888888888888,0.6153846153846154,0.023255813953488372,169,728,4,4,0.15671981871128082,3.3993749618530273,4.085543732643128,0,5330.0,268.7265625,2.3469328880310059e-07,True
S06_multi_event,S06_multi_event,A3,0.9759112279460088,0.9411764705882353,0.9078014184397163,0.9770992366412213,0.02152317880794702,131,735,2,2,0.15947149693965912,3.6084070205688477,4.565332551002503,2,5330.0,268.72265625,2.3469328880310059e-07,True
S06_multi_event,S06_multi_event,A4,0.9999596882558452,0.9606299212598425,0.9242424242424242,1.0,0.01639344262295082,122,732,3,3,0.15642251074314117,3.529386281967163,4.690544018745425,0,5330.0,268.7421875,2.3469328880310059e-07,True
S06_multi_event,S06_multi_event,A5,0.9740062282469316,0.9620853080568721,0.9398148148148148,0.9854368932038835,0.024528301886792454,206,736,4,4,0.1597297638654709,3.7626450061798096,5.4412005996704105,0,5330.0,268.84375,2.3469328880310059e-07,True
S06_multi_event,S06_multi_event,T1,0.9948373237240566,0.9483870967741935,0.901840490797546,1.0,0.027164685908319185,147,736,3,3,0.15655584633350372,3.704576253890991,5.223564286231995,0,5330.0,268.19140625,2.3469328880310059e-07,True
S06_multi_event,S06_multi_event,T2,0.9784137763764249,0.9477124183006536,0.9119496855345912,0.9863945578231292,0.023769100169779286,147,736,3,3,0.16817638278007507,3.5536081790924072,4.349236030578614,0,5330.0,268.54296875,2.3469328880310059e-07,True
S06_multi_event,S06_multi_event,T3,0.6376306620209059,0.41350210970464135,0.5444444444444444,0.3333333333333333,0.08333333333333333,147,639,3,3,0.16091005504131317,3.498852252960205,4.104171905517578,0,9320.0,268.16796875,2.1979212760925293e-07,True
S06_multi_event,S06_multi_event,T3a,0.5183203362645872,0.3436123348017621,0.4875,0.2653061224489796,0.08333333333333333,147,639,3,3,0.15623950958251953,3.378394842147827,4.023907690048218,0,5330.0,268.52734375,1.8998980522155762e-07,True
S06_multi_event,S06_multi_event,no_attack,nan,0.0,0.0,0.0,0.01752021563342318,0,742,0,0,0.1556728482246399,3.56319260597229,4.178360643386841,0,5330.0,268.21875,2.3469328880310059e-07,True
