20.284 09-16-2026 18:30:21 RAM 2170/7486MB (lfb 23x4MB) CPU [0%@729,0%@729,19%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.062C/43.468C soc2@42.968C/43.125C soc0@43.468C/43.625C gpu@43.468C/43.656C tj@43.468C/43.656C soc1@42.593C/42.593C VDD_IN 3099mW/3113mW/3421mW VDD_CPU_GPU_CV 482mW/503mW/683mW VDD_SOC 1004mW/1013mW/1044mW
20.791 09-16-2026 18:30:22 RAM 2170/7486MB (lfb 23x4MB) CPU [0%@729,1%@729,18%@729,3%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.187C/43.468C soc2@43C/43.125C soc0@43.468C/43.625C gpu@43.281C/43.656C tj@43.5C/43.656C soc1@42.531C/42.593C VDD_IN 3099mW/3113mW/3421mW VDD_CPU_GPU_CV 483mW/503mW/683mW VDD_SOC 1004mW/1012mW/1044mW
21.297 09-16-2026 18:30:22 RAM 2168/7486MB (lfb 23x4MB) CPU [0%@729,0%@729,16%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.406C/43.468C soc2@43.031C/43.125C soc0@43.531C/43.625C gpu@43.468C/43.656C tj@43.531C/43.656C soc1@42.468C/42.593C VDD_IN 3059mW/3112mW/3421mW VDD_CPU_GPU_CV 483mW/503mW/683mW VDD_SOC 1006mW/1012mW/1044mW
21.806 09-16-2026 18:30:23 RAM 2169/7486MB (lfb 23x4MB) CPU [5%@1344,4%@1344,21%@1344,4%@1344,1%@1036,1%@1036] GR3D_FREQ 0% cpu@43.375C/43.468C soc2@43C/43.125C soc0@43.343C/43.625C gpu@43.187C/43.656C tj@43.468C/43.656C soc1@42.437C/42.593C VDD_IN 3180mW/3113mW/3421mW VDD_CPU_GPU_CV 562mW/504mW/683mW VDD_SOC 1044mW/1013mW/1044mW
22.313 09-16-2026 18:30:24 RAM 2169/7486MB (lfb 23x4MB) CPU [10%@729,0%@729,12%@729,2%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@43.156C/43.468C soc2@42.937C/43.125C soc0@43.531C/43.625C gpu@43.468C/43.656C tj@43.531C/43.656C soc1@42.437C/42.593C VDD_IN 3099mW/3113mW/3421mW VDD_CPU_GPU_CV 523mW/504mW/683mW VDD_SOC 1006mW/1013mW/1044mW
22.820 09-16-2026 18:30:24 RAM 2169/7486MB (lfb 23x4MB) CPU [0%@729,1%@729,16%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.187C/43.468C soc2@43C/43.125C soc0@43.406C/43.625C gpu@43.156C/43.656C tj@43.406C/43.656C soc1@42.343C/42.593C VDD_IN 3059mW/3112mW/3421mW VDD_CPU_GPU_CV 483mW/504mW/683mW VDD_SOC 1004mW/1013mW/1044mW
23.327 09-16-2026 18:30:25 RAM 2169/7486MB (lfb 23x4MB) CPU [0%@729,1%@729,19%@729,2%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.312C/43.468C soc2@42.968C/43.125C soc0@43.375C/43.625C gpu@43.093C/43.656C tj@43.375C/43.656C soc1@42.406C/42.593C VDD_IN 3059mW/3111mW/3421mW VDD_CPU_GPU_CV 483mW/503mW/683mW VDD_SOC 1006mW/1012mW/1044mW
23.834 09-16-2026 18:30:25 RAM 2169/7486MB (lfb 23x4MB) CPU [3%@729,0%@729,18%@729,2%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.125C/43.468C soc2@42.937C/43.125C soc0@43.656C/43.656C gpu@43.468C/43.656C tj@43.656C/43.656C soc1@42.375C/42.593C VDD_IN 3099mW/3110mW/3421mW VDD_CPU_GPU_CV 483mW/503mW/683mW VDD_SOC 1006mW/1012mW/1044mW
24.341 09-16-2026 18:30:26 RAM 2169/7486MB (lfb 23x4MB) CPU [1%@729,0%@729,16%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.125C/43.468C soc2@42.906C/43.125C soc0@43.562C/43.656C gpu@43.156C/43.656C tj@43.625C/43.656C soc1@42.406C/42.593C VDD_IN 3099mW/3110mW/3421mW VDD_CPU_GPU_CV 483mW/503mW/683mW VDD_SOC 1004mW/1012mW/1044mW
24.848 09-16-2026 18:30:26 RAM 2170/7486MB (lfb 23x4MB) CPU [2%@1344,2%@1344,20%@1344,3%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@43.187C/43.468C soc2@42.937C/43.125C soc0@43.593C/43.656C gpu@43.5C/43.656C tj@43.593C/43.656C soc1@42.375C/42.593C VDD_IN 3099mW/3110mW/3421mW VDD_CPU_GPU_CV 522mW/503mW/683mW VDD_SOC 1004mW/1012mW/1044mW
25.355 09-16-2026 18:30:27 RAM 2170/7486MB (lfb 23x4MB) CPU [16%@729,4%@729,9%@729,9%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.093C/43.468C soc2@42.906C/43.125C soc0@43.406C/43.656C gpu@43.125C/43.656C tj@43.406C/43.656C soc1@42.531C/42.593C VDD_IN 3139mW/3110mW/3421mW VDD_CPU_GPU_CV 523mW/503mW/683mW VDD_SOC 1006mW/1012mW/1044mW
25.864 09-16-2026 18:30:27 RAM 2170/7486MB (lfb 23x4MB) CPU [5%@729,0%@729,18%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.031C/43.468C soc2@42.937C/43.125C soc0@43.593C/43.656C gpu@43.187C/43.656C tj@43.593C/43.656C soc1@42.531C/42.593C VDD_IN 3099mW/3110mW/3421mW VDD_CPU_GPU_CV 482mW/503mW/683mW VDD_SOC 1004mW/1012mW/1044mW
26.370 09-16-2026 18:30:28 RAM 2170/7486MB (lfb 23x4MB) CPU [0%@729,0%@729,18%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.25C/43.468C soc2@42.968C/43.125C soc0@43.437C/43.656C gpu@43.281C/43.656C tj@43.437C/43.656C soc1@42.437C/42.593C VDD_IN 3059mW/3109mW/3421mW VDD_CPU_GPU_CV 483mW/503mW/683mW VDD_SOC 1006mW/1012mW/1044mW
26.876 09-16-2026 18:30:28 RAM 2170/7486MB (lfb 23x4MB) CPU [0%@729,1%@729,18%@729,3%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.218C/43.468C soc2@43.031C/43.125C soc0@43.562C/43.656C gpu@43.125C/43.656C tj@43.562C/43.656C soc1@42.437C/42.593C VDD_IN 3059mW/3108mW/3421mW VDD_CPU_GPU_CV 483mW/502mW/683mW VDD_SOC 1006mW/1012mW/1044mW
27.383 09-16-2026 18:30:29 RAM 2170/7486MB (lfb 23x4MB) CPU [0%@729,0%@729,16%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.312C/43.468C soc2@43C/43.125C soc0@43.406C/43.656C gpu@43.25C/43.656C tj@43.406C/43.656C soc1@42.437C/42.593C VDD_IN 3059mW/3107mW/3421mW VDD_CPU_GPU_CV 483mW/502mW/683mW VDD_SOC 1004mW/1011mW/1044mW
27.889 09-16-2026 18:30:29 RAM 2170/7486MB (lfb 23x4MB) CPU [1%@729,0%@729,18%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.156C/43.468C soc2@42.937C/43.125C soc0@43.531C/43.656C gpu@43.125C/43.656C tj@43.437C/43.656C soc1@42.312C/42.593C VDD_IN 3059mW/3106mW/3421mW VDD_CPU_GPU_CV 483mW/501mW/683mW VDD_SOC 1006mW/1011mW/1044mW
28.396 09-16-2026 18:30:30 RAM 2170/7486MB (lfb 23x4MB) CPU [19%@729,6%@729,6%@729,5%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.093C/43.468C soc2@42.968C/43.125C soc0@43.531C/43.656C gpu@43.312C/43.656C tj@43.531C/43.656C soc1@42.375C/42.593C VDD_IN 3139mW/3107mW/3421mW VDD_CPU_GPU_CV 522mW/502mW/683mW VDD_SOC 1004mW/1011mW/1044mW
28.904 09-16-2026 18:30:30 RAM 2170/7486MB (lfb 23x4MB) CPU [3%@729,2%@729,18%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.062C/43.468C soc2@42.906C/43.125C soc0@43.531C/43.656C gpu@43.437C/43.656C tj@43.531C/43.656C soc1@42.406C/42.593C VDD_IN 3139mW/3108mW/3421mW VDD_CPU_GPU_CV 482mW/501mW/683mW VDD_SOC 1004mW/1011mW/1044mW
29.413 09-16-2026 18:30:31 RAM 2164/7486MB (lfb 23x4MB) CPU [2%@729,1%@729,18%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.093C/43.468C soc2@42.937C/43.125C soc0@43.531C/43.656C gpu@43.062C/43.656C tj@43.531C/43.656C soc1@42.281C/42.593C VDD_IN 3099mW/3107mW/3421mW VDD_CPU_GPU_CV 483mW/501mW/683mW VDD_SOC 1006mW/1011mW/1044mW
29.920 09-16-2026 18:30:31 RAM 2164/7486MB (lfb 23x4MB) CPU [1%@729,1%@729,18%@729,2%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@43.093C/43.468C soc2@42.875C/43.125C soc0@43.5C/43.656C gpu@43.218C/43.656C tj@43.5C/43.656C soc1@42.312C/42.593C VDD_IN 3059mW/3107mW/3421mW VDD_CPU_GPU_CV 483mW/501mW/683mW VDD_SOC 1004mW/1011mW/1044mW
