t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW
241.07,0.959350474175013,0.959350474126269,0.959350474205204,68.2203973593741,68.2203973593741,26.1159123548946,8.03250374632919,37.2574271834761,22.9304664295689,0,1,1.00002056897246,0,0,0.0519572400155428,7.40390670221485
241.08,0.95958408442425,0.959584084376186,0.959584084453979,69.7606002134629,69.7606002134629,26.6239654922049,9.55078833454244,37.2682242650696,22.9415876138508,0,1,0.999761832381778,0,0,0.0640396547659111,9.12565080414233
241.09,0.959785897601442,0.959785897554543,0.959785897631216,69.6818200462098,69.6818200462098,26.5996116160158,9.45333197564727,37.2773981424249,22.9510899281376,0,1,0.999848412247841,0,0,0.0629715557334798,8.97344669202087
241.1,0.959986009021297,0.959986008974976,0.959986009050324,70.2562276457322,70.2562276457322,26.7899384726592,10.0092249597801,37.2865015830925,22.9605011028596,0,1,0.999810766477957,0,0,0.0636436603790071,9.06922160400852
241.11,0.960182587313441,0.960182587266558,0.9601825873425,69.7127545171672,69.7127545171672,26.6128093617712,9.44751041705449,37.2954503673956,22.9697937327171,0,1,0.999943572661322,0,0,0.0676621166700614,9.64185162548375
241.12,0.960376844933054,0.960376844886899,0.960376844962565,70.3777945103965,70.3777945103965,26.8328797270682,10.0945957808619,37.3042804376939,22.9789182918407,0,1,0.999882232737159,0,0,0.0631333094494987,8.99649659655356
241.13,0.960582588803604,0.960582588757089,0.960582588832106,69.1715699850751,69.1715699850751,26.4379976757156,8.86911758171106,37.3137238429387,22.9887285604253,0,1,1.00008825201876,0,0,0.0704971254580913,10.045840377778
241.14,0.960800875582984,0.960800875536446,0.960800875611477,67.6152818185345,67.6152818185345,25.9281601453716,7.29232688883013,37.3237912405381,22.9991636891662,0,1,1.00035402923341,0,0,0.0515233521263799,7.34207767800913
241.15,0.96101341320278,0.961013413157184,0.96101341323154,68.1750615488232,68.1750615488232,26.1138062994623,7.83197584871191,37.3336570775954,23.0094286225158,0,1,1.00018518592702,0,0,0.0491328468611196,7.00143067770954
241.16,0.961217653978423,0.961217653932154,0.961217654006704,68.5060146073805,68.5060146073805,26.2241681384753,8.14366301958218,37.3430911516238,23.0192604361746,0,1,1.0000915291606,0,0,0.0467823926041794,6.66649094609556
241.17,0.96143077849246,0.961430778446653,0.961430778520459,69.0507812193935,69.0507812193935,26.4048828097989,8.66825992198181,37.3529759103798,23.0295453870319,0,1,0.999951228201624,0,0,0.0618781565218368,8.81763730436175
241.18,0.961642715125794,0.961642715079749,0.961642715153558,68.0030565970727,68.0030565970727,26.0621520192819,7.60059591374504,37.3627481948484,23.0397124884793,0,1,1.00014297823264,0,0,0.0547546998196407,7.8025447242988
241.19,0.961864111315468,0.961864111270059,0.96186411134332,67.7838868059644,67.7838868059644,25.991839624137,7.36045273920992,37.3730305232672,23.0504035434873,0,1,1.00014872181535,0,0,0.0511203668270017,7.28465227284774
241.2,0.962086874748228,0.962086874702175,0.96208687477591,66.5701799871313,66.5701799871313,25.5946504651537,6.12558786505615,37.3833850835394,23.0612070385357,0,1,1.00032127378409,0,0,0.0368286456060032,5.24808199885546
241.21,0.961642715243982,0.961642715194123,0.961642715271279,66.4476548254089,66.4476548254089,25.5506168838719,6.0464052432662,37.3610776514187,23.040171930724,0,1,1.0002091853639,0,0,0.04922993538952,7.0152657930066
241.22,0.961206275014376,0.961206274961436,0.961206275041549,67.7657967530979,67.7657967530979,25.9801620789755,7.40735732181552,37.3390879337607,23.0193514975216,0,1,0.999938648273022,0,0,0.0524581974120183,7.4752931312126
