t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW
106.67,0.951891487044652,0.951891487074003,0.951891486886402,99.8032835969796,99.8032835969796,38.3262713923642,29.5834484575675,47.6858509221257,22.5339842172864,0,0.995005707323505,1.11632548566146,-0,0,0.18526920194728,26.4008612774874
106.68,0.952162505174004,0.95216250520397,0.952162505016185,98.1480981927,98.1480981927,37.7854338178823,27.898834699403,47.7019746682934,22.5472888250036,0,0.995005707323505,1.11758878548498,-0,0,0.176944536453892,25.2145964446797
106.69,0.952416374740156,0.95241637476439,0.952416374584642,98.7179268890805,98.7179268890805,37.9757300665739,28.4409710496597,47.7171179739593,22.5598378654614,0,0.995005707323505,1.11763338879263,-0,0,0.201503671733254,28.7142732219888
106.7,0.952644449616075,0.952644449642796,0.952644449459284,97.8910058433143,97.8910058433143,37.7065927318492,27.589441521657,47.7305093807279,22.5710549409295,0,0.995005707323505,1.11799506535087,-0,0,0.184335069809113,26.2677474477986
106.71,0.952848490584712,0.952848490614634,0.952848490429982,98.179265227543,98.179265227543,37.803706777989,27.8556846628787,47.7424185578194,22.5811620068449,0,0.995005707323505,1.1179778444654,-0,0,0.184713313575334,26.3216471844851
106.72,0.953030433416297,0.953030433441399,0.953030433263677,98.2452664042655,98.2452664042655,37.8274862461245,27.9021841825036,47.7528908767289,22.590191345033,0,0.995005707323505,1.11803180668379,-0,0,0.197898731503173,28.2005692392022
106.73,0.953208324975876,0.953208325001075,0.953208324822009,99.3397984725481,99.3397984725481,38.1892637180315,28.9778386256704,47.7630489171243,22.5989109297534,0,0.995005707323505,1.11722272197715,-0,0,0.204368254136774,29.1224762144903
106.74,0.953369572957351,0.953369572986932,0.95336957280314,99.3872444695728,99.3872444695728,38.2066520434013,29.0084512443374,47.7720423451477,22.6067508800877,0,0.995005707323505,1.11700342666315,-0,0,0.202233451815171,28.8182668836618
106.75,0.953508502771509,0.953508502796171,0.953508502620709,99.6685844103813,99.6685844103813,38.3006367015508,29.2754718716822,47.7796049656516,22.6135075730475,0,0.995005707323505,1.11680231207045,-0,0,0.205894481829174,29.3399636606573
106.76,0.953623224569571,0.953623224592676,0.953623224417478,101.113464264168,101.113464264168,38.7767502525098,30.7088435209949,47.785607404045,22.6190133391281,0,0.995005707323505,1.11578396451776,-0,0,0.209370408561061,29.8352832199512
106.77,0.953713192166771,0.953713192194802,0.953713192014112,100.184721354183,100.184721354183,38.4723644130802,29.7714830187685,47.7899349873184,22.6233033480964,0,0.995005707323505,1.11616182957118,-0,0,0.197711359148195,28.1738686786178
106.78,0.953791258356513,0.953791258382913,0.9537912582058,100.32048307636,100.32048307636,38.517728999893,29.8998361140269,47.7935727977154,22.6270741646175,0,0.995005707323505,1.11615337921813,-0,0,0.190146374915247,27.0958584254228
106.79,0.953935846971833,0.953935846989238,0.953935846850041,99.9514418167064,99.9514418167064,38.3979986600839,29.5159643040234,47.8014133465076,22.6340641661753,0,0.995005707323505,1.11657860579171,-0,0,0.207992575086229,29.6389419497876
106.8,0.954091941885337,0.954091941901964,0.954091941735654,100.356082225508,100.356082225508,38.5326996880004,29.904616714733,47.8099483284147,22.6415171823606,0,0.995005707323505,1.11622099456748,-0,0,0.199870873719145,28.4815995049782
