t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW
144.57,0.974244971991457,0.974244972272006,0.974244972253826,281.212762419777,281.212762419777,63.9203138001511,179.414631296916,73.668838331872,28.1292927909893,0,1,0.999959263471433,0,0,0.936031321782303,171.293731886162
144.58,0.973850656735224,0.973850657016133,0.973850656996687,278.308599448379,278.308599448379,64.1888240434546,176.564652915629,73.6378753982995,28.1060711344503,0,1,1.00025543904467,0,0,0.928118295722802,169.845648117273
144.59,0.973608587192416,0.973608587481132,0.973608587462406,278.03350940587,278.03350940587,64.3558441404075,176.322599422812,73.619253470567,28.0916565124909,0,1,1.00027080148253,0,0,0.910928385494214,166.699894545441
144.6,0.973421192415968,0.973421192696945,0.973421192675162,278.578394497702,278.578394497702,64.4831735277259,176.892484725859,73.6052329694011,28.0806768024425,0,1,1.00004271714072,0,0,0.948242252564851,173.528332219368
144.61,0.973242473939627,0.973242474217109,0.973242474201074,279.297338368214,279.297338368214,64.6105848734018,177.636091257927,73.5915417049662,28.0697054053204,0,1,1.00007466228182,0,0,0.922414542907934,168.801861352152
144.62,0.973091343584828,0.97309134386149,0.973091343846442,280.364831282337,280.364831282337,64.7171439537709,178.724009054528,73.5802834521085,28.0605387757013,0,1,0.999966829049738,0,0,0.930573379069565,170.29492836973
144.63,0.972948892520817,0.97294889279772,0.972948892782707,280.13156171647,280.13156171647,64.8180926521902,178.509968840831,73.5697322350049,28.0518606406348,0,1,1.00002416442937,0,0,0.93030548286285,170.245903363902
144.64,0.97281830181554,0.972818302092798,0.972818302078277,277.428538308106,277.428538308106,64.9089371036765,175.824202101085,73.5602821499147,28.0440540571064,0,1,1.00027869313526,0,0,0.922015761875418,168.728884423201
144.65,0.972719726091794,0.972719726368588,0.972719726354397,277.218424765022,277.218424765022,64.9768927028669,175.626634567409,73.5535615203178,28.0382286772954,0,1,1.00022352239165,0,0,0.920432903545132,168.439221348759
144.66,0.972613857665351,0.972613857940814,0.972613857927036,280.763952547897,280.763952547897,65.050359111451,179.185765862457,73.5462566208735,28.0319300645667,0,1,0.999799628474338,0,0,0.947357754794236,173.366469127345
144.67,0.972515164270407,0.972515164544822,0.972515164532063,278.96550883487,278.96550883487,65.121573115557,177.400365058575,73.5393131752609,28.0258306010336,0,1,1.00007606157876,0,0,0.931381475040385,170.44280993239
144.68,0.972399131429633,0.972399131704135,0.972399131692411,281.513140139666,281.513140139666,65.2036642812698,179.963262480185,73.5310859814261,28.0187916780546,0,1,0.999834689755765,0,0,0.942072821563383,172.399326346099
144.69,0.972303547160482,0.972303547434573,0.972303547423009,278.158882657189,278.158882657189,65.2725897761399,176.621562729509,73.5244278744566,28.012892053223,0,1,1.00026430748099,0,0,0.914449597462764,167.344276335686
144.7,0.972223283502382,0.972223283775609,0.972223283764299,279.479181076669,279.479181076669,65.3276862154314,177.951684371516,73.5193121054662,28.0081845996868,0,1,1.00003153992547,0,0,0.933467566717896,170.824564709375
144.71,0.972152479109936,0.972152479383591,0.972152479373198,279.780443602614,279.780443602614,65.3790839197573,178.261859070898,73.5147816001913,28.0038029315243,0,1,1.00003863836091,0,0,0.926083923871235,169.473358068436
