t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW
261.66,1.02589610527555,1.02589610509531,1.02589610519684,75.8920179202804,75.8920179202804,10.8828798653941,26.6025589328105,28.3009940542254,20.9884649332444,0,0.998170582656102,1.00009426688181,-0,0,0.208565133848544,25.8620765972194
261.67,1.02553030759512,1.02553030741063,1.02553030751455,76.1564851720426,76.1564851720426,10.8743513996082,26.8906782727872,28.2923067252941,20.9735001739613,0,0.998170582656102,1.00007008668473,-0,0,0.203139250668289,25.1892670828679
261.68,1.02517923402985,1.02517923384306,1.02517923394825,75.8800636157444,75.8800636157444,10.8661734079707,26.6369260216467,28.2839541092594,20.9591834848383,0,0.998170582656102,1.00006062412971,-0,0,0.204411647628538,25.3470443059387
261.69,1.02483473585866,1.02483473566908,1.02483473577564,77.0324357550972,77.0324357550972,10.8581623321049,27.811526476127,28.2758180469177,20.9450912320525,0,0.998170582656102,0.999962958034721,-0,0,0.212100557663548,26.3004691502799
261.7,1.02449721536777,1.0244972151748,1.02449721528219,77.8901769886193,77.8901769886193,10.8503220104142,28.6910412784684,28.2678959647912,20.9312397453597,0,0.998170582656102,0.999921452331805,-0,0,0.220567061318674,27.3503156035155
261.71,1.02417776161451,1.02417776141755,1.0241777615268,77.272302968905,77.272302968905,10.8429131351569,28.0937509705731,28.2604278306908,20.9181241676411,0,0.998170582656102,1.00000708300305,-0,0,0.217448780498138,26.9636487817691
261.72,1.02386104073213,1.02386104053413,1.02386104064465,75.9964021046089,75.9964021046089,10.8355663877628,26.8382426677815,28.2529836667604,20.9051757700669,0,0.998170582656102,1.00010939060902,-0,0,0.203782888340599,25.2690781542343
261.73,1.02354981462819,1.02354981442759,1.02354981453953,73.7206161160473,73.7206161160473,10.8283419692243,24.5824691214686,28.2455782259912,20.8925687685875,0,0.998170582656102,1.0002244196219,-0,0,0.190139402136446,23.5772858649193
261.74,1.02325338147462,1.02325338127429,1.02325338138703,75.7100414558613,75.7100414558613,10.8214902463404,26.5908761625307,28.238558605864,20.8806066874667,0,0.998170582656102,0.999935609053824,-0,0,0.210931790178126,26.1555419820876
261.75,1.02296365728066,1.02296365707915,1.02296365719376,73.4984155039297,73.4984155039297,10.814774563812,24.3978840990187,28.2317400388227,20.8687913660884,0,0.998170582656102,1.00019322649296,-0,0,0.180752962251055,22.4133673191308
261.76,1.02270402281,1.02270402260655,1.02270402272218,73.9426680203766,73.9426680203766,10.808789916966,24.8587146440427,28.2256059062292,20.8583474701048,0,0.998170582656102,1.00006270293583,-0,0,0.189926018353554,23.5508262758407
261.77,1.02244669759302,1.02244669738675,1.02244669750359,73.5986443708079,73.5986443708079,10.8028493063057,24.5311504578384,28.219524338264,20.8479695747056,0,0.998170582656102,1.00005682236227,-0,0,0.188695315648512,23.3982191404154
261.78,1.02218411333132,1.02218411312733,1.02218411324525,72.7010342607092,72.7010342607092,10.7967720141759,23.6503641595073,28.2132726822924,20.8373974189095,0,0.998170582656102,1.00009894210707,-0,0,0.181340150579607,22.4861786718712
261.79,1.02195434695144,1.02195434674621,1.02195434686549,70.67422595455,70.67422595455,10.7914650322,21.638214266052,28.2077438271999,20.828267861298,0,0.998170582656102,1.00017749864081,-0,0,0.170297678435013,21.1169121259416
261.8,1.02171372895221,1.02171372874434,1.0217137288652,72.7602049062158,72.7602049062158,10.7859082733353,23.7395608682932,28.2019957805657,20.8186482573568,0,0.998170582656102,0.999938166068808,-0,0,0.182817591952322,22.669381402088
261.81,1.0215065971712,1.02150659696508,1.02150659708694,68.8377939894072,68.8377939894072,10.781111461159,19.8303879456064,28.196974671556,20.8104313722448,0,0.998170582656102,1.00025187255972,-0,0,0.153536518126957,19.0385282477427
261.82,1.02131216835771,1.02131216815059,1.02131216827392,69.5903199332616,69.5903199332616,10.7766279861415,20.5952642228438,28.1922329758718,20.802822734546,0,0.998170582656102,1.00006268210248,-0,0,0.159447786791006,19.7715255620848
261.83,1.02111584660472,1.02111584639567,1.02111584652146,70.3088432335166,70.3088432335166,10.772086008268,21.3263266518436,28.1874880332037,20.7950285484692,0,0.998170582656102,0.999997023993832,-0,0,0.15974677704224,19.8086003532377
261.84,1.02094850232354,1.02094850211843,1.0209485022435,69.585990851436,69.585990851436,10.768219583443,20.6141285613927,28.1834068065022,20.7884554835411,0,0.998170582656102,1.00001885331358,-0,0,0.160969450325187,19.9602118403232
261.85,1.02078024195119,1.02078024174568,1.0207802418721,68.2343338716126,68.2343338716126,10.7643152351329,19.2732280672029,28.1792806567003,20.7818251477094,0,0.998170582656102,1.00012698214334,-0,0,0.144933779623219,17.9717886732791
261.86,1.02064529238201,1.02064529217408,1.02064529230181,69.4996901100588,69.4996901100588,10.7612096100568,20.547110560753,28.1759354576632,20.7766440916426,0,0.998170582656102,0.999900425697423,-0,0,0.166514748936445,20.6478288681192
261.87,1.0205089144573,1.0205089142536,1.02050891438114,67.9347086480735,67.9347086480735,10.7580423451288,18.9908526415171,28.1725834147283,20.7712725918281,0,0.998170582656102,1.00008074574739,-0,0,0.144797116158141,17.9548424036094
261.88,1.02038981869884,1.02038981849399,1.02038981862271,70.1573759340129,70.1573759340129,10.7553003660782,21.2210745326834,28.1696866074342,20.7666147938953,0,0.998170582656102,0.999867118280493,-0,0,0.162151752266815,20.1068172810851
261.89,1.02027208280226,1.02027208259562,1.02027208272665,69.3483202479964,69.3483202479964,10.7525681247384,20.4195616416413,28.1668319945356,20.7619266118195,0,0.998170582656102,0.999999125473261,-0,0,0.153815062299651,19.0730677251567
261.9,1.02017988300253,1.02017988279666,1.02017988293027,67.9379353437774,67.9379353437774,10.7504351252306,19.0150316317161,28.1645320888155,20.7583716232458,0,0.998170582656102,1.00008183308922,-0,0,0.147573786188901,18.2991494874237
261.91,1.01990434428993,1.01990434408812,1.01990434422318,70.1803706114145,70.1803706114145,10.743920498015,21.2754107458258,28.1576389217261,20.7473209438626,0,0.998170582656102,0.999847653971258,-0,0,0.170542237700576,21.1472374748714
261.92,1.01973423208507,1.01973423188543,1.01973423202285,69.8014694548893,69.8014694548893,10.7399237268987,20.9075490572991,28.1534753855923,20.7404450119979,0,0.998170582656102,0.999970464881668,-0,0,0.158509969906342,19.6552362683864
261.93,1.01956725053541,1.01956725034344,1.01956725048051,68.395015661889,68.395015661889,10.7359904299376,19.5119396636763,28.149336005271,20.7337399929418,0,0.998170582656102,1.00012017061949,-0,0,0.143359532795473,17.7765820666386
261.94,1.01939445330964,1.01939445311939,1.01939445325861,67.6267835712421,67.6267835712421,10.7319100135733,18.7549175209745,28.1449565382939,20.7269095119737,0,0.998170582656102,1.00010512339566,-0,0,0.143217938912075,17.7590244250973
261.95,1.01921637003573,1.01921636984481,1.01921636998648,69.6299516185303,69.6299516185303,10.7277094701805,20.7696531103337,28.1405067947974,20.7197917133992,0,0.998170582656102,0.99990649972939,-0,0,0.157630795641936,19.5462186596001
261.96,1.01904082277721,1.01904082258327,1.01904082272842,70.1677906204606,70.1677906204606,10.7235578130075,21.3189413344624,28.1361435522146,20.7127057337836,0,0.998170582656102,0.999893684530558,-0,0,0.164795237329477,20.4346094288552
261.97,1.01886258127343,1.01886258109013,1.01886258123313,67.2489808009402,67.2489808009402,10.7193139703471,18.4117864101816,28.1315800176321,20.7056143731265,0,0.998170582656102,1.00011149925438,-0,0,0.143192814829053,17.7559090388026
261.98,1.01867369612886,1.01867369594211,1.01867369608776,69.9375463584751,69.9375463584751,10.7148404412617,21.1126704293654,28.1268392861337,20.6980366429761,0,0.998170582656102,0.999851282729079,-0,0,0.162426269724487,20.1408574458363
