17.229 09-16-2026 12:09:01 RAM 1751/7486MB (lfb 13x4MB) CPU [8%@729,4%@729,6%@729,4%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@44.625C/44.75C soc2@44.312C/44.531C soc0@44.781C/45.125C gpu@44.562C/44.937C tj@44.781C/45.125C soc1@43.75C/43.937C VDD_IN 3697mW/3621mW/3818mW VDD_CPU_GPU_CV 562mW/529mW/602mW VDD_SOC 1125mW/1113mW/1125mW
17.735 09-16-2026 12:09:02 RAM 1751/7486MB (lfb 13x4MB) CPU [2%@729,1%@729,2%@729,3%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.468C/44.75C soc2@44.375C/44.531C soc0@44.843C/45.125C gpu@44.5C/44.937C tj@44.843C/45.125C soc1@43.718C/43.937C VDD_IN 3617mW/3620mW/3818mW VDD_CPU_GPU_CV 522mW/529mW/602mW VDD_SOC 1125mW/1114mW/1125mW
18.241 09-16-2026 12:09:02 RAM 1751/7486MB (lfb 13x4MB) CPU [1%@729,0%@729,9%@729,5%@729,12%@729,0%@729] GR3D_FREQ 0% cpu@44.5C/44.75C soc2@44.25C/44.531C soc0@44.875C/45.125C gpu@44.5C/44.937C tj@44.875C/45.125C soc1@43.843C/43.937C VDD_IN 3617mW/3620mW/3818mW VDD_CPU_GPU_CV 522mW/529mW/602mW VDD_SOC 1125mW/1114mW/1125mW
18.747 09-16-2026 12:09:03 RAM 1751/7486MB (lfb 13x4MB) CPU [9%@729,0%@729,15%@729,5%@729,9%@729,10%@729] GR3D_FREQ 0% cpu@44.468C/44.75C soc2@44.281C/44.531C soc0@45C/45.125C gpu@44.531C/44.937C tj@45C/45.125C soc1@43.843C/43.937C VDD_IN 3577mW/3619mW/3818mW VDD_CPU_GPU_CV 522mW/528mW/602mW VDD_SOC 1085mW/1113mW/1125mW
19.253 09-16-2026 12:09:03 RAM 1751/7486MB (lfb 13x4MB) CPU [3%@729,0%@729,21%@729,0%@729,18%@729,0%@729] GR3D_FREQ 0% cpu@44.562C/44.75C soc2@44.218C/44.531C soc0@44.906C/45.125C gpu@44.781C/44.937C tj@44.906C/45.125C soc1@43.812C/43.937C VDD_IN 3617mW/3619mW/3818mW VDD_CPU_GPU_CV 522mW/528mW/602mW VDD_SOC 1125mW/1113mW/1125mW
19.761 09-16-2026 12:09:04 RAM 1751/7486MB (lfb 13x4MB) CPU [5%@729,0%@729,14%@729,1%@729,12%@729,0%@729] GR3D_FREQ 0% cpu@44.625C/44.75C soc2@44.312C/44.531C soc0@44.843C/45.125C gpu@44.468C/44.937C tj@44.843C/45.125C soc1@43.75C/43.937C VDD_IN 3577mW/3618mW/3818mW VDD_CPU_GPU_CV 522mW/528mW/602mW VDD_SOC 1085mW/1113mW/1125mW
20.268 09-16-2026 12:09:04 RAM 1752/7486MB (lfb 13x4MB) CPU [17%@1344,7%@1344,21%@1344,4%@1344,17%@1113,0%@1113] GR3D_FREQ 0% cpu@44.656C/44.75C soc2@44.343C/44.531C soc0@44.843C/45.125C gpu@44.562C/44.937C tj@44.875C/45.125C soc1@43.812C/43.937C VDD_IN 3697mW/3620mW/3818mW VDD_CPU_GPU_CV 602mW/530mW/602mW VDD_SOC 1125mW/1113mW/1125mW
20.774 09-16-2026 12:09:05 RAM 1752/7486MB (lfb 13x4MB) CPU [4%@729,10%@729,11%@729,9%@729,0%@729,7%@729] GR3D_FREQ 0% cpu@44.593C/44.75C soc2@44.312C/44.531C soc0@45.156C/45.156C gpu@44.531C/44.937C tj@45.156C/45.156C soc1@43.812C/43.937C VDD_IN 3617mW/3620mW/3818mW VDD_CPU_GPU_CV 522mW/530mW/602mW VDD_SOC 1125mW/1113mW/1125mW
21.282 09-16-2026 12:09:05 RAM 1752/7486MB (lfb 13x4MB) CPU [5%@729,1%@729,1%@729,7%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.437C/44.75C soc2@44.281C/44.531C soc0@45C/45.156C gpu@44.531C/44.937C tj@45C/45.156C soc1@43.687C/43.937C VDD_IN 3617mW/3620mW/3818mW VDD_CPU_GPU_CV 522mW/530mW/602mW VDD_SOC 1125mW/1114mW/1125mW
21.788 09-16-2026 12:09:06 RAM 1752/7486MB (lfb 13x4MB) CPU [5%@729,0%@729,3%@729,2%@729,0%@729,3%@729] GR3D_FREQ 0% cpu@44.437C/44.75C soc2@44.312C/44.531C soc0@44.906C/45.156C gpu@44.593C/44.937C tj@44.906C/45.156C soc1@43.906C/43.937C VDD_IN 3617mW/3620mW/3818mW VDD_CPU_GPU_CV 522mW/529mW/602mW VDD_SOC 1085mW/1113mW/1125mW
